content,stars,title
"
Breakfastnya variatif untuk kelas ibis, taste bagus, dan ada makanan tradisionalnya yang taste nya sangat authentic eunakkk tenan sangat direkomendasikan , harga kamarnya tapi agak mahal untuk di kelasnya
",4 dari 5 lingkaran,Makanan bagus
"
Handuk dikamar mandi sudah lusuh,kotor dan sobek-sobek. Bantalnya bauu apek, slimut dan sprei kotor, jadi gatal gatal.di wastafel kamar mandi juga ada puntung rokok . hmmm lowbudget sih tapi ya nggak segitunya lah fasilitasnya.
",2 dari 5 lingkaran,Lumayan buruk
"
Lokasi kurang startegis, termasuk bangunan lama dan agak sulit untuk mencari makan saat malam. Kamar cukup bersih dan nyaman. Layanan dan tawaran dari pihak marketing cukup bagus namun untuk bagian frontliner perlu diperbaiki dalam hal keramahtamahan.
",3 dari 5 lingkaran,Average
"
Hotel ini sudah sejak lama berdiri di kota Semarang dan lokasinya sangat strategis di simpang lima dan menyatu dengan mal ciputra semarang. Namun sayangnya sudah banyak fasilitas hotel yang perlu segera direnovasi. Bila direnovasi secara keseluruhan mungkin bisa lebih meningkatkan persaingan dengan hotel-hotel baru lainnya. Di sekitar hotel ini juga banyak ditemukan restoran/rumah makan dan cocok bagi Anda yang ingin wisata kuliner. Stafnya cukup ramah.
",3 dari 5 lingkaran,Hotel lama dengan lokasi strategis
"
Meskipun lokasinya bukan di lokasi utama tapi hotel ini termasuk bagus baik dalam kebersihan, service dan makanannya. Front desk nya ramah ( Toni ) design dan interior hotel bagus. Kamarnya bersih, AC dingin banget ( I love it ) , breakfast bervariasi menunya. Overall puas menginap disini
",4 dari 5 lingkaran,Nyaman & Mengesankan
"
Tempatnya dekat kemana mana dan untuk harga dan kualitas layanan dari staff sangat bagus. Cuma internet dan sarapan harus di tingkatkan. Junior suite room so awesome! Selain itu ranjang dan bantal di kamar junior suite so comfy. You shoul try sleep at all stay. The best that semarang have
",4 dari 5 lingkaran,Good for business trip
"
saya pertama kali menginap di hotel whiz.pertama kali masuk pelayanan baik diterima 2 orang security.selanjutnya diterima 1 orang resepsionis dengan baik dan segera menjelaskan harga dan kondisi kamar dengan baik.saya diberi harga promo dan mendapat kamar dengan view ke persimpangan paragon mall.saat menulis ini saya baru dua jam di kamar dan merasakan kepuasan dan kenyamanan.walaupun saya pesan kamar single (ukuran +- 2 x 2 dengan 1 kasur dan kamar mandi dalam) tetapi pelayanan tetap baik.semoga manajemen whiz hotel semarang selalu menjaga pelayanannya.
",5 dari 5 lingkaran,dua jam pertama di whiz hotel semarang
"
hotel ini gak terlalu susah dicari. pelayanan ramah, hotel juga bersih.kamar standar saja.lumayan untuk bermalam.makan pagi kurang menarik selera.akses kendaraaan umum sulit.perlu taksi /becak atau sewa mobil buat gampangnya.
",3 dari 5 lingkaran,lumayan...
"
Untuk pertama kalinya nginep di hotel ini.Pelayanan jelek,menu n rasa makanan sarapan buruk dan kamar mandi bau.tidak lagi menggunakan dan merekomendasikan pada keluarga,teman dan rekan bisnis jika ke semarang
",2 dari 5 lingkaran,Never back again
"
Baru masuk halaman depan saja sudah merasakan ada yang janggal.. benar saja,,parkiran yang sangat sempit, tidak di sarankan bagi yang membawa kendaraan besar. ",1 dari 5 lingkaran,Absolutely not coming back..
"
Saya menginap pada tahun lalu, sekitar bulan Oktober untuk satu malam di kamar 'Suite'.",3 dari 5 lingkaran,Lumayan
"
Kamar memang tidak besar , cukup nyaman untuk 2 orang, AC central sehingga cukup sejuk. Sayang liftnya cuma ada 3 dan antri kalau pas high season atau ada acara. Kebersihan kamar cukup, Channel TV yang mesti ditambah
",4 dari 5 lingkaran,Cukup Nyaman
"
Sebelum sampai ke hotel ini, saya request penjemputan ke stasiun di malam hari, ternyata ada dan bisa, hal ini cukup membantu kami yang baru pertama kali ke Semarang dan sampai di stasiun kereta. Penjemput pun cukup ramah dan membantu.",3 dari 5 lingkaran,Standard Hotel Bintang Empat
"
Kamar desainnya biasa dan terkesan kurang terawat, hanya saja kamar di hotel ini lumayan luas. Untuk kamar mandinya juga terpisah dengan WC, namun boleh dibilang OK. Secara keseluruhan, cocok untuk transit atau tidur saja.
",3 dari 5 lingkaran,Hotel Budget
"
Hotel Budget dengan Fasilitas yang Minimalis..",3 dari 5 lingkaran,Minimalis
"
Hotel yang berada di tengah kota, sehingga dekat kemana-mana. Dari tempat saya meeting ke hotel cukup dengan jalan kaki sambil menikmati pemandangan kota Semarang.",4 dari 5 lingkaran,All In Hotel
"
disini kebetulan dapat kamar paling ujung jd kamarnya lebih luas. cukup bersih, nyaman dan view langsung ke kota. letaknya strategis, depan hotel jg byk yg jual makan kalo malam hari. menu sarapan cukup bervariasi dan rasanya cukup enak.
",4 dari 5 lingkaran,nyaman dan strategis
"
lokasi strategis di kawasan simpang lima semarang, bisa berjalan2 sehat sekaligus mencari hidangan malam di area tersebut.",4 dari 5 lingkaran,simple and clean hotel
"
Lokasi hotel ini sangat stratgis karena berlokasi tepat di simpang lima, untuk mencari hiburan dan makanan tinggal ke mall yang berada disebelahnya dan ada akses langsung dari loby hotel. meskipun hotel ini sudah lama tetapi perawatannya masih baik, hampir seluruh area hotel kebersihannya masih terjaga dengan baik. tidak hanya itu pelayanannya sangat memuaskan, ramah dan sangat membantu.
",4 dari 5 lingkaran,Best Location
"
Saya stay Di Ibis Simpang Lima pada tanggal 9 Januari 2016. Dan saya dapat kamar yang menghadap S5 sesuai permintaan saya. Kamar Bersih, Rapi dan Sangat Nyaman buat istirahat saya selama semalam. Well Done buat HK Team. Untuk Breakfast cukup variatif dan cukup enak juga. Pemandangan menghadap S5 cukup enak sambil breakfast. Recomended....
",5 dari 5 lingkaran,Stay Comfort in Right Place
"
Beberapa tahun lalu pernah menginap dihotel ini pada saat itu masih baru dan saat ini terbilang sudah cukup matang pelayanannya, seharusnya sih...",2 dari 5 lingkaran,Hotel sederhana 
"
Staff di hotel ini sungguh sangat bersahabat, mungkin diseluruh Ibis di Indonesia, setiap kali datang berkunjung ke hotel ini saya serasa berada di rumah sendiri, nyaman dan mereka para staff selalu membantuku.",4 dari 5 lingkaran,Stay Comfort at Center of City
"
Hotel ini termasuk salah satu hotel terbaru yang ada di Semarang, harganya ekonomis dan cukup terjangkau serta lokasinya fantastis di simpang lima dan pusat kota Semarang. Kamarnya memang tidak terlalu luas tetapi sangat bersih dan nyaman. Pemandangan kotanya sangat bagus. Andalan hotel ini selain lokasi adalah pool dan sky loungenya yang berada di lantai teratas dari hotel ini sehingga view kota Semarang dapat terlihat sangat bagus.
",4 dari 5 lingkaran,Hotel baru harga ekonomis lokasi strategis
"
Sangat menakutkan menginap dihotel ini",1 dari 5 lingkaran,Konslet listrik sehingga semua lampu padam. Exit door dikunci.
"
1. Kebersihan, kenyamanan, dan pelayanan sangat baik",4 dari 5 lingkaran,Hotel Budget yang Menarik
"
hotel yg terletak di pusat kota, strategis dekat dg area kuliner, tempat bisnis dan wisata. mudah mendapatkan kendaraan umum. Suasana hotel terang, bersih dan nyaman, cukup untuk beristirahat setelah bisnis trip yg melelahkan
",4 dari 5 lingkaran,hotel yg pas utk bisnis trip
"
Hotel ini letaknya tidak jauh dari pusat perbelanjaan Paragon di kota Semarang cukup < 5 menit berjalan kaki dan menyeberang jalan. Harga hotel ini sangat ekonomis dan fasilitasnya cukup lumayan termasuk kenyamanan tempat tidur dan kebersihan ruangannya. Pelayan staf hotelnya juga sangat ramah.
",3 dari 5 lingkaran,Hotel ekonomis lokasi strategis
"
Kamarnya luas, bersih dan pelayanan cepat. Sayangnya kolam renang tidak terlalu besar dan alat2 gym tidak terlalu banyak pilihan. Untuk menu sarapan lumayan bervariasi dan rasanya juga lumayan. Lokasinya tidak terlalu jauh dengan pusat kota, namun jika musim hujan jalanan di depan hotel dan sekitarnya pasti banjir.
",4 dari 5 lingkaran,Hotel yang nyaman
"
Untuk keperluan bisnis hotel ini sudah cukup memadai. Tempatnya bersih dan nyaman walaupun agak sempit. Untuk kamar standartnnya agak sempit, jadi saya biasanya pakai kamar deluxe. Pelayanannya ramah sekali, setiap bertemu pegawai selalu menyapa. dan lokasi cukup strategis di tengahj kota sehingga mudah cari makan. Sarapannya tidak terlalu enak dan tidak terlalu jelek. hanya variasinya agak kurang. Yang bikin menarik adalah harganya yang murah, apalagi kalau pakai kartu keanggotaan accor.
",4 dari 5 lingkaran,"Cukup bagus, bersih dan nyaman. Harga murah"
"
Hotel ini terletak kurang lebih 200m dr simpang lima, depan hotel menyediakan makanan kaki lima dengan harga yang bersahabat, untuk pelayanan bagus, cepat dan ramah, bersih, tingkat keamanan yang baik, untuk harga standar, namun hotel ini untuk ruang standar tv nya terlalu kecil, dan belum tersedia fasilitas olah raga seperti fitness center ataupun swimingpool, untuk harga dan kualitas sesuai.
",4 dari 5 lingkaran,Dekat simpang lima
"
Saya menginap di hotel ini selama 4 hari 3 malam, di malam pertama ada masalah dikamar yaitu AC bocor, saya mau pindah kamar tp tidak bisa karena kamar lain sudah penuh namun teknisi cepat memperbaiki masalah tersebut sehingga tidak ada masalah lagi di malam berikutnya. Meja dikamar banyak semut, handuk agak bau sehingga saya minta diganti tiap hari. Untuk sarapan menunya kurang enak dan tidak banyak variant.
",3 dari 5 lingkaran,Biasa saja..
"
saya ke Aston untuk sarapan saja sih bersama teman-teman sambil melihat-lihat fasilitas yang disediakan hotel untuk pandangan atau referensi bila suatu saat ada acara yang akan diadakan di hotel. ",4 dari 5 lingkaran,Hotel for all purposes
"
Kami menginap 3 hari disini, Ketika check in kecewa karena in advance ketika booking sdh info kalau pilih yg non smoking floor ternyata pas hari h diberi yg smoking floor dengan alasan kamar penuh. Bahkan begitu buka pintu lift, aroma rokok sangat menyengat, Kami minta house keeping utk semprot pewangi ruangan di kamar, Nggak nyaman banget karena tirai, kasur dll sudah nempel bau rokoknya. Akhiranya kami dipindahkan ke non smoking floor di hari kedua dan ketiga. TV di dalam kamarnya sangat kecil, tidak sebanding dengan besarnya ruangan. Sarapan menunya itu itu saja, tidak banyak variasi, Jadi kalau long stay disini, mungkin lebih baik pilih breakfast di luar hotel atau pilih yg non breakfast price. Koki hrs lebih perhatikan beras yg dipilih, 2 kali sarapan, pilih menu lontong, eh ada banyak batunya di dalamnya, jadinya mengurangi kenyamanan makan. Saya terganggu dgn restoran yg membolehkan tamu utk merokok, padahal di ruangan ber AC, Hotel harusnya berkomitmen menjaga kenyamanan pengunjung lainnya dgn tdk menyediakan asbak di meja restoran. Tembok pembatas kamar tipis, suara dari kamar sebelah sering terdengar, Lantai parket di kamar amat licin, Jadi hati hati melangkah, khususnya jika stay bersama balita, anak anak atau manula.
",3 dari 5 lingkaran,Lokasi Strategis
"
Lokasinya sangat strategis, cari makan sangat mudah. Staff ramah. Kamar bersih namun sempit. Lift private, hanya bisa diakses tamu saja. Minusnya parkir mobil susah walaupun pakai wallet parkir gratis.
",3 dari 5 lingkaran,Hotel dengan lokasi sangat strategis
