city,hotel_locality,reviewer_location,hotel_url,reviewer_id,title,reviewer_level,content,hotel_address,hotel_classs,hotel_review_stars,reviewer_name,hotel_review_qty,review_stars,hotel_name
Semarang,"Semarang 50131, ",,https://www.tripadvisor.co.id/Hotel_Review-g297712-d6891480-Reviews-Hotel_Citradream_Semarang-Semarang_Central_Java_Java.html,UID_096A8796FA29D6700E614D01A9AE84D5-SRC_437360639,"Kamar cukup luas, bersih, dekat dengan pusat kota",lvl_02,"Saya memesan 1 kamar melalui reservasi online pada pukul 3 sore untuk check in di hari yang sama. 30 menit kemudian saya tiba di hotel ini, prosesnya begitu cepat dan simple. Front office sangat juga ramah.
Dengan harga promo yang saya bayar, sebenarnya tak terlalu berharap banyak pada hotel ini, namun ternyata kamar yg saya dapat lebih dari ekspektasi. Kamar cukup luas dengan lantai kayu sehingga kesan bersih terasa. Kamar mandi juga bersih, disediakan peralatan mandi basic. Jika ada satu - satunya kekurangan, mungkin cuma shower yang alirannya tak terlaku kencang, tapi bukan masalah besar sih.
Overall, menginap di hotel ini sangat menyenangkan. Lokasi wisata Lawang Sewu juga hanya berjarak 300m saja. Very recommended!!",Jln. Imam Bonjol No. 187,2.5 dari 5,4.0 dari 5 lingkaran,adia p,58 Ulasan,5 dari 5 lingkaran, Hotel Citradream Semarang 
Semarang,"Semarang 50124, ",,https://www.tripadvisor.co.id/Hotel_Review-g297712-d6780971-Reviews-Just_Inn_Semarang-Semarang_Central_Java_Java.html,UID_30F5F3D193BDF52D55E1B33C9FD004BD-SRC_430160411,Recommended!,lvl_06,Sangat dekat dari pusat kota (simpang lima) dan di sekitar hotel banyak orang berjualan makanan yg bisa ditempuh hanya dengan jalan kaki. Kamar yg nyaman dan bersih serta harga yg terjangkau! Ada fasilitas sewa motor dan laundry yang juga sangat membantu customer dalam menikmati kota semarang,Jl. Kartini no. 15,2.5 dari 5,4.5 dari 5 lingkaran,Firda A,51 Ulasan,4 dari 5 lingkaran, Just Inn Semarang 
Semarang,"Semarang 50251, ","Bintan, Indonesia",https://www.tripadvisor.co.id/Hotel_Review-g297712-d8285172-Reviews-Grand_Edge_Hotel_Semarang-Semarang_Central_Java_Java.html,UID_11A072A6DC3FB9FE757FC7312E926996-SRC_440848192,Hotel yg menyatu dgb pusat kuliner,lvl_06,Hotel dengan atmosfir yang elegan dan bersih sesuai dengan konsep minimalis. Semua staf hotel yang ramah mulai dari valet hingga room boy dikorodor. Breakfast dengan menu yang beragam. Dengan rate yg kompetitif. Ingin berkunjung selanjutnya jika ke semarang.,Jln. Sultan Agung no. 96,3.5 dari 5,3.5 dari 5 lingkaran,DeviRianto,91 Ulasan,4 dari 5 lingkaran, Grand Edge Hotel Semarang 
Semarang,"Semarang 50132, ",Bandung,https://www.tripadvisor.co.id/Hotel_Review-g297712-d2531371-Reviews-Whiz_Hotel_Semarang-Semarang_Central_Java_Java.html,UID_0F2D7D460FE61D3628330EF84D35FA06-SRC_439214732,average hotel,lvl_06,"pertama x masuk,staff nya kaku banget,pelayanan nya ga ramah,kamar hotelnya sempit,respon staff hotel ketika terjadi problem lambat...bagusnya deket banget dengan paragon mall,dan stasiun ...strategis lokasinya",Jln. Kapten Piere Tendean 9,3.0 dari 5,3.5 dari 5 lingkaran,syaifulfauzi,273 Ulasan,2 dari 5 lingkaran, Whiz Hotel Semarang 
Semarang,"Semarang, ","Pontianak, Indonesia",https://www.tripadvisor.co.id/Hotel_Review-g297712-d2182285-Reviews-Hotel_Surya-Semarang_Central_Java_Java.html,UID_296542E914260A7B93BB0A710C15A906-SRC_158639754,lumayan...,lvl_03,"hotel ini gak terlalu susah dicari. pelayanan ramah, hotel juga bersih.kamar standar saja.lumayan untuk bermalam.makan pagi kurang menarik selera.akses kendaraaan umum sulit.perlu taksi /becak atau sewa mobil buat gampangnya.","Imam Bonjol Street, 28",,4.0 dari 5 lingkaran,Dv_Mei,35 Ulasan,3 dari 5 lingkaran, Hotel Surya 
Semarang,"Semarang 50241, ",,https://www.tripadvisor.co.id/Hotel_Review-g297712-d8698143-Reviews-Louis_Kienne_Hotel_Simpang_Lima-Semarang_Central_Java_Java.html,UID_3488BD25D0CC367B321F6948FEC2DE4F-SRC_436059976,"Clean room, nice view, smart service",lvl_04,"Saya stay di hotel ini pada tanggal 9 november 2016
Dikamar 2010
Kamarnya bagus, mungkin karena hotel baru
Bersih banget
Furniturenya cantik banget warna ungu,
Staffnya ramah
Breakfastnya enak walaupun pilihannya sedikit dan kebetulan tempat breakfastnya kecil dan tinggi ruangannya pendek
View kolam renangnya oke banget, lucu
Thanks banget luois kienne",Jl. Jend. Ahmad Yani no. 137,3.5 dari 5,3.5 dari 5 lingkaran,Tri M,117 Ulasan,5 dari 5 lingkaran, Louis Kienne Hotel Simpang Lima 
Semarang,"Semarang 50134, ",,https://www.tripadvisor.co.id/Hotel_Review-g297712-d5313767-Reviews-HOM_Hotel_Semarang-Semarang_Central_Java_Java.html,UID_C24707EB928427B94CF1D62D15989AC8-SRC_416971942,Hotel nyaman dekat simapng lima,lvl_03,"Bersih, pelayanan ramah, tersedia fasilitas shuttle gratis ke airport. Cari makan mudah karena lokasinya sangat dekat simpang lima, mau kaki lima maupun mall bisa. Di depan resepsionis ada spot2 duduk untuk minuman ringan",Jl. Pandanaran 119,3.5 dari 5,4.5 dari 5 lingkaran,Stefani M,355 Ulasan,3 dari 5 lingkaran, HOM Hotel Semarang 
Semarang,"Semarang 50134, ","Jakarta, Indonesia",https://www.tripadvisor.co.id/Hotel_Review-g297712-d5313767-Reviews-HOM_Hotel_Semarang-Semarang_Central_Java_Java.html,UID_4556D8DD65EEE608855E19588DE636EF-SRC_415302241,Hotel bisnis yang efisien,lvl_03,"Beberapa kali saya menginap di Hom Hotel Semarang, saya nilai proses check in dan check out nya sangat cepat dan efisien. Dan beberapa staff telah mengenal saya dan dengan ramah menyapa. Kondisi kamar selalu prima dan yang penting bersih. Untuk makanan pagi juga baik, dan diatas rata-rata hotel bintang tiga, dengan menyajikan hidangan lokal seperti soto, bubur ayam.",Jl. Pandanaran 119,3.5 dari 5,4.5 dari 5 lingkaran,AriSMS,355 Ulasan,4 dari 5 lingkaran, HOM Hotel Semarang 
Semarang,"Semarang 50232, ","Jawa Timur, Indonesia",https://www.tripadvisor.co.id/Hotel_Review-g297712-d5511170-Reviews-Oak_Tree_Emerald_Semarang_Hotel-Semarang_Central_Java_Java.html,UID_AFA43972181B1FCC1361B82EA0725462-SRC_384479651,Konsep Hijau,lvl_03,"Oak Tree Emerald Hotel bisa menjadi salah satu pilihan hotel yang tepat di Semarang bagi yang menginginkan suasana hijau dan segar dengan konsep yang berbeda. Berada di tengah pepohonan rimbun dan suasana yang sepi, konsep bangunan juga terkesan alam dengan sedikit bertemakan alam. Kolam renangnya juga bagus plus suasana resto langsung menghadap view taman yang segar dan hijau, semakin legkap dengan adanya ruang meeting/konferensi. Akses masuk ke Oak Tree juga bagus.. Hotel ini cocok untuk pertemuan bisnis,keluarga, pasangan,teman maupun individu.","Jl. Palm – Papandayan, Gajahmungkur",4.0 dari 5,4.0 dari 5 lingkaran,aripadma72,226 Ulasan,3 dari 5 lingkaran, Oak Tree Emerald Semarang Hotel 
Semarang,"Semarang 50138, ",,https://www.tripadvisor.co.id/Hotel_Review-g297712-d1797782-Reviews-Quest_Hotel_Semarang-Semarang_Central_Java_Java.html,UID_28758EB9789CA79F7452E5F785FF968A-SRC_374699098,Hotel Bintang 3 yang nyaman,lvl_06,"Untuk kelas hotel bintang 3, Quest Hotel Semarang cukup nyaman dan terbilang luas bila dibanding dengan hotel bintang 3 dari jejaring hotel yang lain. Kamar cukup luas dan nyaman, tidak berkesan sumpek. Penerangan dalam kamar nyaman dan tidak berkesan suram. Di dalam kamar dilengkapi dengan safe deposit box dan kulkas. Namun sepertinya sekat antar kamar tidak terlalu baik, beberapa kali saya mendengar getaran suara HP dari kamar sebelah.
Internet cukup cepat. Koneksinya juga baik. Kualitas sinyal HP di dalam ruangan juga baik.
Variasi menu sarapan paggi juga cukup banyak, pelayanan juga baik. 2 hal yang menjadi kekurangan untuk sarapan adalah:
1. Masakan ikan goreng dan ayam terlalu keras. Mungkin maksudnya ikan goreng digoreng kering, namun yang terjadi malah ikan terasa keras.
2. Pengisian ulang untuk pasta dan sosis sangat lama. Bahkan pada sarapan hari pertama, saya sama sekali tidak kebagian sosis, padahal saat itu sarapan jam 07.30. Pada hari kedua juga sama, saat datang sosis sudah habis, baru menjelang saya selesai makan, sosis diisi ulang sekitar jam 8 pagi.
Kolam renang tidak terlalu luas, namun cukup nyaman.
Lingkungan di sekitarnya sangat mudah untuk mencari makanan, karena letaknya tidak jauh dari pasar Semawis",Jln. Plampitan 37- 39,3.0 dari 5,4.0 dari 5 lingkaran,Yusup T,309 Ulasan,4 dari 5 lingkaran, Quest Hotel Semarang 
